Season,Bases,0 Outs,1 Out,2 Outs,Era
1943,1B -- --,0.791,0.455,0.198,Integration Era
1943,-- 2B --,1.062,0.675,0.336,Integration Era
1943,-- -- 3B,1.404,0.937,0.411,Integration Era
1943,1B 2B --,1.511,0.911,0.437,Integration Era
1943,1B -- 3B,1.539,1.116,0.548,Integration Era
1943,-- 2B 3B,2.017,1.52,0.665,Integration Era
1943,1B 2B 3B,2.184,1.695,0.763,Integration Era
1944,-- -- --,0.475,0.235,0.088,Integration Era
1944,1B -- --,0.87,0.511,0.206,Integration Era
1944,-- 2B --,1.132,0.692,0.309,Integration Era
1944,-- -- 3B,1.394,1.018,0.384,Integration Era
1944,1B 2B --,1.519,1.006,0.439,Integration Era
1944,1B -- 3B,1.694,1.274,0.528,Integration Era
1944,-- 2B 3B,1.751,1.404,0.6,Integration Era
1944,1B 2B 3B,1.992,1.615,0.685,Integration Era
1945,-- -- --,0.471,0.247,0.085,Integration Era
1945,1B -- --,0.859,0.494,0.204,Integration Era
1945,-- 2B --,1.017,0.704,0.323,Integration Era
1945,-- -- 3B,1.345,0.923,0.403,Integration Era
1945,1B 2B --,1.615,0.935,0.438,Integration Era
1945,1B -- 3B,1.621,1.163,0.538,Integration Era
1945,-- 2B 3B,2.034,1.489,0.658,Integration Era
1945,1B 2B 3B,2.462,1.637,0.74,Integration Era
1946,-- -- --,0.443,0.234,0.091,Integration Era
1946,1B -- --,0.784,0.458,0.196,Integration Era
1946,-- 2B --,0.998,0.649,0.314,Integration Era
1946,-- -- 3B,1.354,0.913,0.371,Integration Era
1946,1B 2B --,1.469,0.879,0.397,Integration Era
1946,1B -- 3B,1.677,1.136,0.454,Integration Era
1946,-- 2B 3B,2.046,1.305,0.581,Integration Era
1946,1B 2B 3B,2.24,1.483,0.649,Integration Era
1947,-- -- --,0.491,0.258,0.1,Integration Era
1947,1B -- --,0.867,0.515,0.218,Integration Era
1947,-- 2B --,1.142,0.706,0.355,Integration Era
1947,-- -- 3B,1.435,0.953,0.402,Integration Era
1947,1B 2B --,1.581,0.946,0.461,Integration Era
1947,1B -- 3B,1.661,1.204,0.508,Integration Era
1947,-- 2B 3B,1.904,1.503,0.602,Integration Era
1947,1B 2B 3B,2.269,1.575,0.792,Integration Era
1948,-- -- --,0.517,0.27,0.102,Integration Era
1948,1B -- --,0.907,0.533,0.219,Integration Era
1948,-- 2B --,1.125,0.744,0.344,Integration Era
1948,-- -- 3B,1.281,0.994,0.438,Integration Era
1948,1B 2B --,1.678,1.052,0.449,Integration Era
1948,1B -- 3B,1.84,1.207,0.522,Integration Era
1948,-- 2B 3B,1.956,1.458,0.647,Integration Era
1948,1B 2B 3B,2.37,1.746,0.752,Integration Era
1949,-- -- --,0.52,0.27,0.1,Integration Era
1949,1B -- --,0.914,0.522,0.223,Integration Era
1949,-- 2B --,1.094,0.754,0.353,Integration Era
1949,-- -- 3B,1.412,0.887,0.416,Integration Era
1949,1B 2B --,1.61,0.959,0.446,Integration Era
1949,1B -- 3B,1.844,1.233,0.575,Integration Era
1949,-- 2B 3B,2.025,1.367,0.634,Integration Era
1949,1B 2B 3B,2.459,1.558,0.775,Integration Era
1950,-- -- --,0.553,0.3,0.111,Integration Era
1950,1B -- --,0.929,0.572,0.242,Integration Era
1950,-- 2B --,1.233,0.773,0.364,Integration Era
1950,-- -- 3B,1.407,0.996,0.462,Integration Era
1950,1B 2B --,1.631,1.089,0.481,Integration Era
1950,1B -- 3B,1.663,1.189,0.553,Integration Era
1950,-- 2B 3B,2.065,1.534,0.707,Integration Era
1950,1B 2B 3B,2.579,1.854,0.94,Integration Era
1951,-- -- --,0.514,0.267,0.098,Integration Era
1951,1B -- --,0.89,0.521,0.218,Integration Era
1951,-- 2B --,1.12,0.709,0.33,Integration Era
1951,-- -- 3B,1.385,0.956,0.402,Integration Era
1951,1B 2B --,1.589,0.995,0.435,Integration Era
1951,1B -- 3B,1.749,1.259,0.523,Integration Era
1951,-- 2B 3B,1.955,1.511,0.61,Integration Era
1951,1B 2B 3B,2.394,1.644,0.747,Integration Era
1952,-- -- --,0.468,0.249,0.084,Integration Era
1952,1B -- --,0.834,0.502,0.198,Integration Era
1952,-- 2B --,1.11,0.677,0.334,Integration Era
1952,-- -- 3B,1.353,0.947,0.417,Integration Era
1952,1B 2B --,1.522,0.954,0.447,Integration Era
1952,1B -- 3B,1.8,1.182,0.487,Integration Era
1952,-- 2B 3B,2.196,1.461,0.662,Integration Era
1952,1B 2B 3B,2.49,1.589,0.868,Integration Era
1953,-- -- --,0.524,0.287,0.111,Integration Era
1953,1B -- --,0.899,0.558,0.235,Integration Era
1953,-- 2B --,1.17,0.714,0.359,Integration Era
1953,-- -- 3B,1.521,0.998,0.407,Integration Era
1953,1B 2B --,1.639,1.006,0.464,Integration Era
1953,1B -- 3B,1.875,1.286,0.561,Integration Era
1953,-- 2B 3B,2.117,1.427,0.62,Integration Era
1953,1B 2B 3B,2.574,1.645,0.72,Integration Era
1954,-- -- --,0.497,0.269,0.099,Integration Era
1954,1B -- --,0.861,0.525,0.212,Integration Era
1954,-- 2B --,1.04,0.674,0.323,Integration Era
1954,-- -- 3B,1.389,0.934,0.391,Integration Era
1954,1B 2B --,1.443,0.946,0.449,Integration Era
1954,1B -- 3B,1.731,1.122,0.502,Integration Era
1954,-- 2B 3B,1.925,1.336,0.583,Integration Era
1954,1B 2B 3B,2.185,1.524,0.644,Integration Era
1955,-- -- --,0.507,0.271,0.11,Integration Era
1955,1B -- --,0.882,0.526,0.229,Integration Era
1955,-- 2B --,1.078,0.712,0.332,Integration Era
1955,-- -- 3B,1.186,0.929,0.375,Integration Era
1955,1B 2B --,1.495,0.954,0.461,Integration Era
1955,1B -- 3B,1.778,1.181,0.567,Integration Era
1955,-- 2B 3B,1.975,1.469,0.623,Integration Era
1955,1B 2B 3B,2.287,1.533,0.793,Integration Era
1956,-- -- --,0.502,0.271,0.109,Integration Era
1956,1B -- --,0.872,0.531,0.226,Integration Era
1956,-- 2B --,1.076,0.67,0.331,Integration Era
1956,-- -- 3B,1.305,0.938,0.379,Integration Era
1956,1B 2B --,1.533,0.946,0.448,Integration Era
1956,1B -- 3B,1.631,1.2,0.535,Integration Era
1956,-- 2B 3B,1.943,1.429,0.716,Integration Era
1956,1B 2B 3B,2.251,1.533,0.738,Integration Era
1957,-- -- --,0.477,0.256,0.096,Integration Era
1957,1B -- --,0.848,0.508,0.208,Integration Era
1957,-- 2B --,1.073,0.679,0.338,Integration Era
1957,-- -- 3B,1.262,0.896,0.387,Integration Era
1957,1B 2B --,1.424,0.91,0.41,Integration Era
1957,1B -- 3B,1.612,1.165,0.486,Integration Era
1957,-- 2B 3B,1.819,1.325,0.556,Integration Era
1957,1B 2B 3B,2.253,1.631,0.752,Integration Era
1958,-- -- --,0.477,0.261,0.102,Integration Era
1958,1B -- --,0.823,0.517,0.223,Integration Era
1958,-- 2B --,1.028,0.667,0.326,Integration Era
1958,-- -- 3B,1.352,0.843,0.363,Integration Era
1958,1B 2B --,1.38,0.917,0.462,Integration Era
1958,1B -- 3B,1.592,1.083,0.503,Integration Era
1958,-- 2B 3B,1.88,1.388,0.603,Integration Era
1958,1B 2B 3B,2.246,1.482,0.714,Integration Era
1959,-- -- --,0.49,0.264,0.107,Integration Era
1959,1B -- --,0.852,0.516,0.236,Integration Era
1959,-- 2B --,1.123,0.676,0.335,Integration Era
1959,-- -- 3B,1.284,0.954,0.389,Integration Era
1959,1B 2B --,1.455,0.937,0.452,Integration Era
1959,1B -- 3B,1.827,1.085,0.466,Integration Era
1959,-- 2B 3B,1.993,1.364,0.616,Integration Era
1959,1B 2B 3B,2.2,1.511,0.784,Integration Era
1960,-- -- --,0.479,0.26,0.099,Integration Era
1960,1B -- --,0.844,0.513,0.219,Integration Era
1960,-- 2B --,1.099,0.693,0.351,Integration Era
1960,-- -- 3B,1.26,0.932,0.348,Integration Era
1960,1B 2B --,1.416,0.92,0.46,Integration Era
1960,1B -- 3B,1.768,1.241,0.54,Integration Era
1960,-- 2B 3B,1.974,1.369,0.569,Integration Era
1960,1B 2B 3B,2.229,1.511,0.772,Integration Era
1961,-- -- --,0.509,0.275,0.109,Expansion Era
1961,1B -- --,0.877,0.514,0.223,Expansion Era
1961,-- 2B --,1.072,0.702,0.324,Expansion Era
1961,-- -- 3B,1.497,0.962,0.382,Expansion Era
1961,1B 2B --,1.553,1.012,0.45,Expansion Era
1961,1B -- 3B,1.755,1.196,0.477,Expansion Era
1961,-- 2B 3B,2.049,1.434,0.654,Expansion Era
1961,1B 2B 3B,2.413,1.627,0.747,Expansion Era
1962,-- -- --,0.502,0.264,0.106,Expansion Era
1962,1B -- --,0.88,0.516,0.228,Expansion Era
1962,-- 2B --,1.078,0.682,0.327,Expansion Era
1962,-- -- 3B,1.266,0.921,0.421,Expansion Era
1962,1B 2B --,1.517,0.937,0.441,Expansion Era
1962,1B -- 3B,1.732,1.166,0.541,Expansion Era
1962,-- 2B 3B,2.163,1.358,0.628,Expansion Era
1962,1B 2B 3B,2.476,1.586,0.745,Expansion Era
1963,-- -- --,0.443,0.235,0.089,Expansion Era
1963,1B -- --,0.798,0.469,0.194,Expansion Era
1963,-- 2B --,1.068,0.643,0.323,Expansion Era
1963,-- -- 3B,1.267,0.898,0.354,Expansion Era
1963,1B 2B --,1.435,0.858,0.419,Expansion Era
1963,1B -- 3B,1.608,1.167,0.521,Expansion Era
1963,-- 2B 3B,1.887,1.315,0.575,Expansion Era
1963,1B 2B 3B,2.424,1.445,0.743,Expansion Era
1964,-- -- --,0.452,0.25,0.089,Expansion Era
