Season,Bases,0 Outs,1 Out,2 Outs
2002,-- -- 3B,1.421,0.95,0.373
2002,1B 2B --,1.524,0.949,0.462
2002,1B -- 3B,1.875,1.212,0.542
2002,-- 2B 3B,1.984,1.375,0.641
2002,1B 2B 3B,2.323,1.528,0.795
2003,-- -- --,0.536,0.284,0.11
2003,1B -- --,0.936,0.547,0.241
2003,-- 2B --,1.196,0.715,0.344
2003,-- -- 3B,1.394,1.042,0.39
2003,1B 2B --,1.582,0.928,0.46
2003,1B -- 3B,1.887,1.224,0.531
2003,-- 2B 3B,2.035,1.435,0.559
2003,1B 2B 3B,2.495,1.576,0.819
2004,-- -- --,0.544,0.289,0.114
2004,1B -- --,0.942,0.556,0.244
2004,-- 2B --,1.186,0.725,0.343
2004,-- -- 3B,1.464,0.98,0.38
2004,1B 2B --,1.51,0.984,0.469
2004,1B -- 3B,1.882,1.25,0.542
2004,-- 2B 3B,2.165,1.488,0.63
2004,1B 2B 3B,2.298,1.616,0.84
2005,-- -- --,0.521,0.282,0.109
2005,1B -- --,0.911,0.558,0.24
2005,-- 2B --,1.147,0.699,0.348
2005,-- -- 3B,1.516,0.982,0.383
2005,1B 2B --,1.484,0.936,0.446
2005,1B -- 3B,1.832,1.186,0.522
2005,-- 2B 3B,2.059,1.424,0.62
2005,1B 2B 3B,2.373,1.56,0.765
2006,-- -- --,0.55,0.302,0.111
2006,1B -- --,0.944,0.576,0.244
2006,-- 2B --,1.163,0.741,0.363
2006,-- -- 3B,1.45,0.969,0.381
2006,1B 2B --,1.589,0.978,0.466
2006,1B -- 3B,1.831,1.188,0.508
2006,-- 2B 3B,1.966,1.459,0.596
2006,1B 2B 3B,2.412,1.707,0.841
2007,-- -- --,0.541,0.287,0.109
2007,1B -- --,0.946,0.552,0.245
2007,-- 2B --,1.191,0.743,0.356
2007,-- -- 3B,1.424,0.99,0.401
2007,1B 2B --,1.536,0.945,0.472
2007,1B -- 3B,1.841,1.22,0.517
2007,-- 2B 3B,2.13,1.459,0.647
2007,1B 2B 3B,2.405,1.647,0.801
2008,-- -- --,0.525,0.282,0.109
2008,1B -- --,0.911,0.541,0.233
